,id,Photo_ArchivalDate,Photo_Provenance,Photo_KHI_Classification,Photo_AcquisitionDate,Photo_Photographer,Art_id0,Art_id_sublevel0,Art_type0,Art_title0,Art_building_name0,Art_GeoStyle0,Art_ActualState0,Art_Artist0,Art_GeoLocation0,Art_Institution0,Art_PhysLocation_Geo0,Art_PhysLocation_Name0,Art_Date0,Art_id1,Art_id_sublevel1,Art_type1,Art_title1,Art_building_name1,Art_GeoStyle1,Art_ActualState1,Art_Artist1,Art_GeoLocation1,Art_Institution1,Art_PhysLocation_Geo1,Art_PhysLocation_Name1,Art_Date1,Art_id2,Art_id_sublevel2,Art_type2,Art_title2,Art_building_name2,Art_GeoStyle2,Art_ActualState2,Art_Artist2,Art_GeoLocation2,Art_Institution2,Art_PhysLocation_Geo2,Art_PhysLocation_Name2,Art_Date2
13551,13551,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1903,Hanfstaengl,70010647,,Bild,"['Noli me tangere', 'Christus erscheint Maria Magdalena']",,,,Tizian,London,National Gallery,,,um 1514,,,,,,,,,,,,,,,,,,,,,,,,,,
13551scan,13551scan,2021.11.16,,,"['vor 1903', '2021.10']","['Hanfstaengl', 'Digitallabor KHI nach historischer Vorlage']",70010647,,Bild,"['Noli me tangere', 'Christus erscheint Maria Magdalena']",,,,Tizian,London,National Gallery,,,um 1514,,,,,,,,,,,,,,,,,,,,,,,,,,
13126,13126,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1897,Hanfstaengl,07705412,,Bild,Berufung der Söhne des Zebedäus,,,,"Basaiti, Marco",Wien,Kunsthistorisches Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13126scan,13126scan,2022.11.21,,,"['vor 1897', '2022.10.04']","['Hanfstaengl', 'Digitallabor KHI nach historischer Vorlage']",07705412,,Bild,Berufung der Söhne des Zebedäus,,,,"Basaiti, Marco",Wien,Kunsthistorisches Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401264,401264,1982.08.26,,Mal. Ren.,,,07705412,,Bild,Berufung der Söhne des Zebedäus,,,,"Basaiti, Marco",Wien,Kunsthistorisches Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434204,434204,1986.05.13,"Heinemann, Fritz",Mal. Ren.,,,07705412,,Bild,Berufung der Söhne des Zebedäus,,,,"Basaiti, Marco",Wien,Kunsthistorisches Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13433,13433,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1903,Hanfstaengl,70013046,,Bild,Maria mit dem Kind und den heiligen Katharina und Jakobus der Ältere,,,,"Lotto, Lorenzo",Wien,Kunsthistorisches Museum Wien,,,1527/1533,,,,,,,,,,,,,,,,,,,,,,,,,,
13433scan,13433scan,2023.02.15,,,"['vor 1903', '2022.10.04']","['Hanfstaengl', 'Digitallabor KHI nach historischer Vorlage']",70013046,,Bild,Maria mit dem Kind und den heiligen Katharina und Jakobus der Ältere,,,,"Lotto, Lorenzo",Wien,Kunsthistorisches Museum Wien,,,1527/1533,,,,,,,,,,,,,,,,,,,,,,,,,,
148500,148500,1956.11.14,Fine Arts Museum of San Francisco,Mal. Ren.,vor 1956,unbekannt,70013046,,Bild,Maria mit dem Kind und den heiligen Katharina und Jakobus der Ältere,,,,"Lotto, Lorenzo",Wien,Kunsthistorisches Museum Wien,,,1527/1533,,,,,,,,,,,,,,,,,,,,,,,,,,
148501,148501,1956.11.14,Fine Arts Museum of San Francisco,Mal. Ren.,vor 1956,unbekannt,70013046,,Bild,Maria mit dem Kind und den heiligen Katharina und Jakobus der Ältere,,,,"Lotto, Lorenzo",Wien,Kunsthistorisches Museum Wien,,,1527/1533,,,,,,,,,,,,,,,,,,,,,,,,,,
148502,148502,1956.11.14,Fine Arts Museum of San Francisco,Mal. Ren.,vor 1956,unbekannt,70013046,,Bild,Maria mit dem Kind und den heiligen Katharina und Jakobus der Ältere,,,,"Lotto, Lorenzo",Wien,Kunsthistorisches Museum Wien,,,1527/1533,,,,,,,,,,,,,,,,,,,,,,,,,,
148503,148503,1956.11.14,Fine Arts Museum of San Francisco,Mal. Ren.,vor 1956,unbekannt,70013046,,Bild,Maria mit dem Kind und den heiligen Katharina und Jakobus der Ältere,,,,"Lotto, Lorenzo",Wien,Kunsthistorisches Museum Wien,,,1527/1533,,,,,,,,,,,,,,,,,,,,,,,,,,
148504,148504,1956.11.14,Fine Arts Museum of San Francisco,Mal. Ren.,vor 1956,unbekannt,70013046,,Bild,Maria mit dem Kind und den heiligen Katharina und Jakobus der Ältere,,,,"Lotto, Lorenzo",Wien,Kunsthistorisches Museum Wien,,,1527/1533,,,,,,,,,,,,,,,,,,,,,,,,,,
13318,13318,1912,"Fossati Bellani, Luigi Vittorio",Mal. Ren.,vor 1912,Fiorentini,70013058,,Bild,"Leichnam Christi, von Engeln gehalten",,,,"Tura, Cosimo",Wien,Kunsthistorisches Museum Wien,,,1460/1470,,,,,,,,,,,,,,,,,,,,,,,,,,
13318scan,13318scan,2023.02.15,,,"['vor 1912', '2022.10.04']","['Fiorentini', 'Digitallabor KHI nach historischer Vorlage']",70013058,,Bild,"Leichnam Christi, von Engeln gehalten",,,,"Tura, Cosimo",Wien,Kunsthistorisches Museum Wien,,,1460/1470,,,,,,,,,,,,,,,,,,,,,,,,,,
323879,323879,1976.10.21,Bildarchiv Foto Marburg,Mal. Ren.,,unbekannt,70013058,,Bild,"Leichnam Christi, von Engeln gehalten",,,,"Tura, Cosimo",Wien,Kunsthistorisches Museum Wien,,,1460/1470,,,,,,,,,,,,,,,,,,,,,,,,,,
13527,13527,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1903,Brogi,70013208,,Bild,Die heilige Lucia,,,,Salvo di Antonio,Messina,Museo Regionale di Messina,Messina,Chiesa di Santa Lucia,1591,,,,,,,,,,,,,,,,,,,,,,,,,,
13527scan,13527scan,2023.04.14,,,"['vor 1903', '2022.10.04']","['Brogi', 'Digitallabor KHI nach historischer Vorlage']",70013208,,Bild,Die heilige Lucia,,,,Salvo di Antonio,Messina,Museo Regionale di Messina,Messina,Chiesa di Santa Lucia,1591,,,,,,,,,,,,,,,,,,,,,,,,,,
13202,13202,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,Hanfstaengl,07703528,,Bild,Maria mit dem Kind,,,,"Lippi, Filippino",Berlin,Staatliche Museen zu Berlin - Preußischer Kulturbesitz,,,um 1475/1480,,,,,,,,,,,,,,,,,,,,,,,,,,
13202scan,13202scan,2022.11.23,,,"['vor 1912', '2022.10.04']","['Hanfstaengl', 'Digitallabor KHI nach historischer Vorlage']",07703528,,Bild,Maria mit dem Kind,,,,"Lippi, Filippino",Berlin,Staatliche Museen zu Berlin - Preußischer Kulturbesitz,,,um 1475/1480,,,,,,,,,,,,,,,,,,,,,,,,,,
13676,13676,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1902,Bruckmann,70012991,,Bild,Semiramis und der Bote,,,zerstört,Guercino,Dresden,Gemäldegalerie Alte Meister Dresden,,,1627/1628,,,,,,,,,,,,,,,,,,,,,,,,,,
13676scan,13676scan,2023.02.02,,,"['vor 1902', '2022.10.04']","['Bruckmann', 'Digitallabor KHI nach historischer Vorlage']",70012991,,Bild,Semiramis und der Bote,,,zerstört,Guercino,Dresden,Gemäldegalerie Alte Meister Dresden,,,1627/1628,,,,,,,,,,,,,,,,,,,,,,,,,,
13308,13308,1912,"Buerkel, Ludwig von",Mal. Ren.,1899,Bruckmann,07701900,,Bild,Weibliches Brustbild (Lucrezia Borgia?),,,,Bartolomeo Veneto,Frankfurt (Main),Städelsches Kunstinstitut und Städtische Galerie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
