,id,Photo_ArchivalDate,Photo_Provenance,Photo_KHI_Classification,Photo_AcquisitionDate,Photo_Photographer,Art_id0,Art_id_sublevel0,Art_type0,Art_title0,Art_GeoStyle0,Art_ActualState0,Art_Artist0,Art_GeoLocation0,Art_Institution0,Art_PhysLocation_Geo0,Art_PhysLocation_Name0,Art_Date0,Art_id1,Art_id_sublevel1,Art_type1,Art_title1,Art_GeoStyle1,Art_ActualState1,Art_Artist1,Art_GeoLocation1,Art_Institution1,Art_PhysLocation_Geo1,Art_PhysLocation_Name1,Art_Date1,Art_id2,Art_id_sublevel2,Art_type2,Art_title2,Art_GeoStyle2,Art_ActualState2,Art_Artist2,Art_GeoLocation2,Art_Institution2,Art_PhysLocation_Geo2,Art_PhysLocation_Name2,Art_Date2,Artist_wd_nameprep
0,13551,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1903,Hanfstaengl,70010647,,Bild,"['Noli me tangere', 'Christus erscheint Maria Magdalena']",,,Tizian,London,National Gallery,,,um 1514,,,,,,,,,,,,,,,,,,,,,,,,,Tizian
1,13126,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1897,Hanfstaengl,07705412,,Bild,Berufung der Söhne des Zebedäus,,,"Basaiti, Marco",Wien,Kunsthistorisches Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marco Basaiti
4,13433,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1903,Hanfstaengl,70013046,,Bild,Maria mit dem Kind und den heiligen Katharina und Jakobus der Ältere,,,"Lotto, Lorenzo",Wien,Kunsthistorisches Museum Wien,,,1527/1533,,,,,,,,,,,,,,,,,,,,,,,,,Lorenzo Lotto
12,13527,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1903,Brogi,70013208,,Bild,Die heilige Lucia,,,Salvo di Antonio,Messina,Museo Regionale di Messina,Messina,Chiesa di Santa Lucia,1591,,,,,,,,,,,,,,,,,,,,,,,,,Salvo di Antonio
13,13202,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,Hanfstaengl,07703528,,Bild,Maria mit dem Kind,,,"Lippi, Filippino",Berlin,Staatliche Museen zu Berlin - Preußischer Kulturbesitz,,,um 1475/1480,,,,,,,,,,,,,,,,,,,,,,,,,Filippino Lippi
14,13676,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1902,Bruckmann,70012991,,Bild,Semiramis und der Bote,,zerstört,Guercino,Dresden,Gemäldegalerie Alte Meister Dresden,,,1627/1628,,,,,,,,,,,,,,,,,,,,,,,,,Guercino
15,13308,1912,"Buerkel, Ludwig von",Mal. Ren.,1899,Bruckmann,07701900,,Bild,Weibliches Brustbild (Lucrezia Borgia?),,,Bartolomeo Veneto,Frankfurt (Main),Städelsches Kunstinstitut und Städtische Galerie,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bartolomeo Veneto
17,13661,1912,"Buerkel, Ludwig von",Mal. Bar.,vor 1878,Brogi,70013021,,Bild,Ecce Homo,,,Guercino,Turin,Galleria Sabauda,,,1659,,,,,,,,,,,,,,,,,,,,,,,,,Guercino
18,13532,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,Alinari,70013033,,Bild,Die heilige Familie,,,"Salimbeni, Ventura",Florenz,"Galleria Palatina, Palazzo Pitti",,,,,,,,,,,,,,,,,,,,,,,,,,,,Ventura Salimbeni
23,13493,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1899,Anderson,07700713,,Zyklus,Freskenzyklus,,,Sebastiano del Piombo,Rom,San Pietro in Montorio,Rom,San Pietro in Montorio,1516/1524,,"07700713,T,005",Wandbild,Geißelung Christi,,,,,,,,,,,,,,,,,,,,,Sebastiano del Piombo
25,13434,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1912,Fiorentini,70013045,,Bild,Mann mit Tierpranke,,,"Lotto, Lorenzo",Wien,Kunsthistorisches Museum Wien,,,1524/1525,,,,,,,,,,,,,,,,,,,,,,,,,Lorenzo Lotto
27,13460,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1876,Alinari,70013154,,Bild,Verkündigung,,,"Venusti, Marcello",Rom,"Galleria Nazionale d'Arte Antica, Palazzo Corsini",,,1551/1560,,,,,,,,,,,,,,,,,,,,,,,,,Marcello Venusti
28,13408,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1896,Alinari,70013156,,Bild,Die heilige Familie mit dem Johannesknaben,,,"Pisano, Nicola (1484)",Florenz,Galleria degli Uffizi,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nicola Pisano
30,13566,1912,"Buerkel, Ludwig von",Mal. Ren.,vor 1894,"Tamme, Rudolph",70013035,,Bild,"Bildnis der Tochter Tizians, Lavinia",,,Tizian,Dresden,Gemäldegalerie Alte Meister Dresden,,,um 1561,,,,,,,,,,,,,,,,,,,,,,,,,Tizian
